2015	7	31	13	21
	851	427	212.750000	16.750000	2.538691e+01
	815	440	203.750000	20.000000	3.178676e+01
	817	441	204.250000	20.250000	2.303630e+01
	787	504	196.750000	36.000000	3.948243e+01
	716	512	179.000000	38.000000	1.468410e+01
	718	515	179.500000	38.750000	2.234160e+01
	671	518	167.750000	39.500000	1.796567e+01
	735	525	183.750000	41.250000	1.727483e+01
	706	527	176.500000	41.750000	1.627476e+01
	711	529	177.750000	42.250000	1.982640e+01
	807	552	201.750000	48.000000	1.735188e+01
	896	588	224.000000	57.000000	1.649850e+01
	903	590	225.750000	57.500000	1.576519e+01
