start	8	2014	10	1	0
	189	101	237.250000	35.250000	5.980954e+00	2014	10	1	0
	191	92	237.750000	33.000000	6.430099e+00	2014	10	1	3
	188	94	237.000000	33.500000	4.149973e+00	2014	10	1	6
	188	90	237.000000	32.500000	4.173606e+00	2014	10	1	9
	198	84	239.500000	31.000000	4.910587e+00	2014	10	1	12
	200	84	240.000000	31.000000	4.618254e+00	2014	10	1	15
	202	83	240.500000	30.750000	4.998088e+00	2014	10	1	18
	202	84	240.500000	31.000000	4.923815e+00	2014	10	1	21
start	12	2014	10	1	0
	106	144	216.500000	46.000000	2.568588e+00	2014	10	1	0
	122	144	220.500000	46.000000	1.966953e+00	2014	10	1	6
	115	154	218.750000	48.500000	2.425819e+00	2014	10	1	12
	126	153	221.500000	48.250000	2.487388e+00	2014	10	1	15
	137	151	224.250000	47.750000	2.546847e+00	2014	10	1	18
	146	149	226.500000	47.250000	2.763147e+00	2014	10	1	21
	144	147	226.000000	46.750000	2.905988e+00	2014	10	2	3
	152	145	228.000000	46.250000	2.605579e+00	2014	10	2	6
	152	146	228.000000	46.500000	2.636996e+00	2014	10	2	9
	145	156	226.250000	49.000000	2.522778e+00	2014	10	2	12
	155	152	228.750000	48.000000	2.792032e+00	2014	10	2	15
	158	152	229.500000	48.000000	2.394299e+00	2014	10	2	18
start	13	2014	10	1	0
	76	147	209.000000	46.750000	2.665445e+00	2014	10	1	0
	72	145	208.000000	46.250000	3.121793e+00	2014	10	1	6
	75	147	208.750000	46.750000	3.376394e+00	2014	10	1	9
	80	154	210.000000	48.500000	2.904620e+00	2014	10	1	15
	57	164	204.250000	51.000000	3.098190e+00	2014	10	1	18
	47	167	201.750000	51.750000	2.681190e+00	2014	10	1	21
	40	166	200.000000	51.500000	2.934554e+00	2014	10	2	0
	40	166	200.000000	51.500000	3.807509e+00	2014	10	2	3
	49	154	202.250000	48.500000	2.344808e+00	2014	10	2	6
	53	161	203.250000	50.250000	2.880406e+00	2014	10	2	12
	77	173	209.250000	53.250000	6.715636e+00	2014	10	2	18
	82	181	210.500000	55.250000	4.548274e+00	2014	10	2	21
	75	172	208.750000	53.000000	2.786721e+00	2014	10	3	0
start	10	2014	10	1	15
	66	115	206.500000	38.750000	2.338376e+00	2014	10	1	15
	71	121	207.750000	40.250000	4.044414e+00	2014	10	1	18
	77	128	209.250000	42.000000	3.761525e+00	2014	10	1	21
	84	136	211.000000	44.000000	4.283109e+00	2014	10	2	0
	89	145	212.250000	46.250000	4.165136e+00	2014	10	2	3
	90	156	212.500000	49.000000	4.349014e+00	2014	10	2	6
	90	163	212.500000	50.750000	3.903595e+00	2014	10	2	9
	89	161	212.250000	50.250000	4.400324e+00	2014	10	2	12
	86	174	211.500000	53.500000	4.989954e+00	2014	10	2	15
	77	173	209.250000	53.250000	6.715636e+00	2014	10	2	18
start	5	2014	10	2	0
	111	162	217.750000	50.500000	2.860048e+00	2014	10	2	0
	118	162	219.500000	50.500000	2.853834e+00	2014	10	2	3
	123	163	220.750000	50.750000	2.911052e+00	2014	10	2	6
	128	164	222.000000	51.000000	2.655623e+00	2014	10	2	9
	145	156	226.250000	49.000000	2.522778e+00	2014	10	2	12
start	11	2014	10	2	3
	73	112	208.250000	38.000000	2.749526e+00	2014	10	2	3
	78	113	209.500000	38.250000	2.940855e+00	2014	10	2	6
	84	116	211.000000	39.000000	2.685425e+00	2014	10	2	9
	93	125	213.250000	41.250000	2.269459e+00	2014	10	2	12
	90	116	212.500000	39.000000	2.240689e+00	2014	10	2	15
	95	119	213.750000	39.750000	2.576838e+00	2014	10	2	18
	101	125	215.250000	41.250000	2.272121e+00	2014	10	2	21
	107	131	216.750000	42.750000	2.347136e+00	2014	10	3	0
	116	138	219.000000	44.500000	2.339992e+00	2014	10	3	3
	125	145	221.250000	46.250000	2.260727e+00	2014	10	3	6
	133	150	223.250000	47.500000	2.061031e+00	2014	10	3	9
start	52	2014	10	2	15
	41	109	200.250000	37.250000	2.553614e+00	2014	10	2	15
	48	111	202.000000	37.750000	3.523062e+00	2014	10	2	18
	57	116	204.250000	39.000000	4.321031e+00	2014	10	2	21
	64	119	206.000000	39.750000	4.582311e+00	2014	10	3	0
	71	123	207.750000	40.750000	3.919515e+00	2014	10	3	3
	79	126	209.750000	41.500000	3.385765e+00	2014	10	3	6
	88	132	212.000000	43.000000	2.720408e+00	2014	10	3	9
	91	127	212.750000	41.750000	2.798377e+00	2014	10	3	12
	97	128	214.250000	42.000000	2.674758e+00	2014	10	3	15
	100	128	215.000000	42.000000	2.555724e+00	2014	10	3	18
	109	133	217.250000	43.250000	2.353714e+00	2014	10	3	21
	110	134	217.500000	43.500000	2.615401e+00	2014	10	4	3
	98	132	214.500000	43.000000	2.295827e+00	2014	10	4	6
	96	134	214.000000	43.500000	2.090484e+00	2014	10	4	9
	97	130	214.250000	42.500000	2.032859e+00	2014	10	4	12
	91	127	212.750000	41.750000	1.826251e+00	2014	10	4	15
	77	124	209.250000	41.000000	1.602035e+00	2014	10	4	18
	83	128	210.750000	42.000000	1.849228e+00	2014	10	4	21
	80	115	210.000000	38.750000	1.987122e+00	2014	10	5	0
	72	104	208.000000	36.000000	1.774228e+00	2014	10	5	3
	55	94	203.750000	33.500000	4.485730e+00	2014	10	5	6
	57	97	204.250000	34.250000	6.216564e+00	2014	10	5	9
	60	100	205.000000	35.000000	6.031114e+00	2014	10	5	12
	64	104	206.000000	36.000000	5.538124e+00	2014	10	5	15
	69	108	207.250000	37.000000	5.738140e+00	2014	10	5	18
