Event Start,Event Dur,maxScale,maxLocDur,maxIVT,maxIVTLat,maxScaletime,Type,start_date,end_date
2016-10-07 12:00:00,60.0,3.0,60.0,664.0,47.0,2016100806.0,NDcyc,2016-10-07 12:00:00,2016-10-10 00:00:00
2016-10-13 00:00:00,120.0,5.0,108.0,1286.0,43.0,2016101306.0,Scyc,2016-10-13 00:00:00,2016-10-18 00:00:00
2016-10-20 00:00:00,24.0,2.0,24.0,675.0,47.0,2016102000.0,NDcyc,2016-10-20 00:00:00,2016-10-21 00:00:00
2016-10-23 06:00:00,210.0,4.0,108.0,1055.0,43.0,2016102600.0,Scyc,2016-10-23 06:00:00,2016-11-01 00:00:00
2016-11-05 00:00:00,24.0,3.0,24.0,884.0,48.0,2016110500.0,NDcyc,2016-11-05 00:00:00,2016-11-06 00:00:00
2016-11-11 00:00:00,24.0,2.0,24.0,739.0,43.0,2016111118.0,Scyc,2016-11-11 00:00:00,2016-11-12 00:00:00
2016-11-13 18:00:00,48.0,3.0,42.0,865.0,43.0,2016111406.0,Scyc,2016-11-13 18:00:00,2016-11-15 18:00:00
2016-12-13 12:00:00,96.0,4.0,66.0,779.0,37.0,2016121500.0,NDcyc,2016-12-13 12:00:00,2016-12-17 12:00:00
2017-01-17 06:00:00,42.0,3.0,36.0,904.0,45.0,2017011712.0,NDcyc,2017-01-17 06:00:00,2017-01-19 00:00:00
2017-01-21 18:00:00,42.0,3.0,42.0,827.0,33.0,2017012118.0,NDcyc,2017-01-21 18:00:00,2017-01-23 12:00:00
2017-02-03 18:00:00,234.0,4.0,114.0,1078.0,43.0,2017020812.0,Scyc,2017-02-03 18:00:00,2017-02-13 12:00:00
2017-02-14 18:00:00,96.0,4.0,42.0,1243.0,43.0,2017021500.0,Scyc,2017-02-14 18:00:00,2017-02-18 18:00:00
2017-02-20 06:00:00,36.0,2.0,36.0,686.0,37.0,2017022006.0,NDcyc,2017-02-20 06:00:00,2017-02-21 18:00:00
2017-03-07 12:00:00,72.0,3.0,66.0,685.0,46.0,2017030900.0,Scyc,2017-03-07 12:00:00,2017-03-10 12:00:00
2017-03-17 12:00:00,36.0,3.0,30.0,765.0,43.0,2017031712.0,NDcyc,2017-03-17 12:00:00,2017-03-19 00:00:00
2017-04-05 00:00:00,96.0,3.0,66.0,705.0,37.0,2017040612.0,Scyc,2017-04-05 00:00:00,2017-04-09 00:00:00
2017-04-24 06:00:00,24.0,2.0,24.0,605.0,38.0,2017042406.0,NDcyc,2017-04-24 06:00:00,2017-04-25 06:00:00
